CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-1785-AG21;1;78101800;Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Transporte de carga por carretera;78101801;Servicios de transporte local en camión;Traslado Funsionario Profesional: D. Rodrigo Venegas Sanchez, desde Santiago a Osorno;Traslado Funsionario Profesional: D. Rodrigo Venegas Sanchez, desde Santiago a Osorno;1.0;;680000.0;0.0;680000.0
1057532-2068-AG21;1;25172500;Vehículos y equipamiento en general / Componentes para vehículos en general / Neumáticos y cámaras de neumáticos;25172504;Neumáticos para camionetas o automóviles;NEUMATICOS 235/65 R16 // SEGUN DETALLE ADJUNTO;NEUMATICOS 235/65 R16 // SEGUN DETALLE ADJUNTO;4.0;;110941.0;0.0;443764.0
1057532-1960-SE21;1;42192200;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192210;Sillas de ruedas;(1540066)SILLA DE RUEDAS ESTÁNDAR JIANLIAN BM951B-56;SILLA DE RUEDAS BARIATRICA JIALIAN BN951B-56 C+R.;5.0;;150000.0;0.0;750000.0
1057532-1940-CC21;1;85101600;Salud, servicios sanitarios y alimentación / Servicios para el cuidado de la salud de las personas / Enfermería y paramédicos;85101603;Servicios de cuidado personal en instituciones esp;AVNI - Ventilación no invasiva sin TENS;AVNI - Ventilación no invasiva sin TENS;60.0;;16995.0;0.0;1019700.0
1057532-1940-CC21;2;85101600;Salud, servicios sanitarios y alimentación / Servicios para el cuidado de la salud de las personas / Enfermería y paramédicos;85101603;Servicios de cuidado personal en instituciones esp;AVI -Ventilación Invasiva sin TENS;AVI -Ventilación Invasiva sin TENS;60.0;;51775.0;0.0;3106500.0
1057532-1980-SE21;1;76121900;Servicios de limpieza industrial / Eliminación y tratamiento de desechos / Eliminación de residuos peligrosos;76121901;Eliminación de residuos médicos;Compra Servicios de Manejo, Retiro, Transporte y Disposición final de Residuos Peligrosos y Especiales//;Compra Servicios de Manejo, Retiro, Transporte y Disposición final de Residuos Especiales//;189.0;;1350.0;0.0;255150.0
1057532-24-SE22;1;43231500;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;43231512;Software de gestión de licencias;ID 1523665 CM / Licencia SAYDEX Sistema de Gestión de  Salud Rayen Hospitalaria 10 usuarios (Paquete 10 licencias)  36 meses - Gran Compra N°47049 -;ID 1523665 CM / Licencia SAYDEX Sistema de Gestión de  Salud Rayen Hospitalaria 10 usuarios (Paquete 10 licencias)  36 meses - Gran Compra N°47049.;33.0;;195557.52;0.0;6453398.159999999
1057532-24-SE22;2;43231500;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;43231512;Software de gestión de licencias;ID 1378137 CM / Licencia SAYDEX Sistema de Gestión de  Salud Rayen 10 usuarios (Paquete 10 licencias) 36 meses -  Gran Compra N°47049;ID 1378137 CM / Licencia SAYDEX Sistema de Gestión de  Salud Rayen 10 usuarios (Paquete 10 licencias) 36 meses -  Gran Compra N°47049.;134.0;;161547.5;0.0;21647365.0
1057532-63-SE22;1;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;Adquisición de 12 cupos de residencia protegida para el SSO, en la ciudad de Osorno;Adquisición de 12 cupos de residencia protegida para el SSO, en la ciudad de Osorno;372.0;;23000.0;0.0;8556000.0
1057532-68-SE22;1;42181700;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de electrocardiografía (ECG) y productos relacionados;42181701;Unidades de electrocardiografía (ECG);N° DE EQUIPOS EN ARRIENDO MES DICIEMBRE 2021//CONVENIO DE PRESTACIÓN DE SERVICIO DE ELECTROCARDIOGRAFÍA A DISTANCIA Y ARRIENDO DE  ELECTROCARDIÓGRAFOS PARA 22 ESTABLECIMIENTOS DE LA RED ASISTENCIAL PRIMARIA DE LA PROVINCIA DE OSORNO;EQUIPOS MES DICIEMBRE 2021//CONVENIO DE PRESTACIÓN DE SERVICIO DE ELECTROCARDIOGRA FÍA A DISTANCIA Y ARRIENDO DE  ELECTROCARDIÓGRAFOS PARA 22 ESTABLECIMIENTOS DE LA RED ASISTENCIAL PRIMARIA DE LA PROVINCIA DE OSORNO;24.0;;12100.0;0.0;290400.0
1057532-10-CM22;1;0;;0;ESTACIÓN DE SERVICIO DIESEL - REGIÓN DE LOS LAGOS DESCUENTO PESOS POR LITRO;(1837363) ESTACIÓN DE SERVICIO DIESEL - REGIÓN DE LOS LAGOS DESCUENTO PESOS POR LITRO;(1837363) ESTACIÓN DE SERVICIO DIESEL - REGIÓN DE LOS LAGOS DESCUENTO PESOS POR LITRO , Región Metropolitana de Santiago, Santiago, Direccion no aplica a productos virtuales, Descuento $30;1.0;;1200000.0;0.0;1200000.0
1057532-53-CC22;1;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;SERVICIO OXIGENOTERAPIA DOMICILIARIA OXIMETRIA Z/3 SUR.  MES NOVIEMBRE // PACIENTES GES;SERVICIO OXIGENOTERAPIA DOMICILIARIA OXIMETRIA Z/3 SUR.;32.0;;87895.0;0.0;2812640.0
1057532-112-AG22;1;41116200;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Suministros y equipos para tratamiento de enfermos;41116203;Accesorios de monitores o medidores;LINEA ARTERIAL PARA MONITOR ZOLL CODIGO 5203511;LINEA ARTERIAL PARA MONITOR ZOLL CÓDIGO 5203511;3.0;;30500.0;0.0;91500.0
1057532-15-SE22;1;81111500;Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Ingeniería en computación e informática;81111509;Desarrollo de aplicaciones para Internet o intrane;Servicio de licencia médica Full/Prais.;Servicio de licencia médica Full/ Prais.;1.0;;90.0;0.0;90.0
1057532-80-AG22;1;78121600;Servicios de transporte, almacenaje y correo / Manejo, manipulación y embalaje de material / Servicios de manipulación de materiales;78121601;Servicios de flete;MUDANZA, DESDE SANTIAGO A OSORNO;MUDANZA, DESDE SANTIAGO A OSORNO;1.0;;780000.0;0.0;780000.0
1057532-94-SE22;1;43212100;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Impresoras;43212105;Impresoras de láser;N° Impresiones B/N. Diciembre 2021;Arriendo Impresoras Multifuncionales con costo variable para el Servicio de Salud Osorno, por 36 meses/ Diciembre 2021;6630.0;;16.2;0.0;107406.0
1057532-146-SE22;1;42181700;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de electrocardiografía (ECG) y productos relacionados;42181701;Unidades de electrocardiografía (ECG);Trato Directo Electrocardiografía a distancia, Servicio de  Informes Enero 2022;SERVICIOS DE ELECTROCARDIOGRAFIA A DISTANCIA Y ARRIENDO DE ELECTROCARDIOGRAFOS PARA 23 ESTABLECIMIENTOS DE LA RED ASISTENCIA PRIMARIA DE LA PROVINCIA DE OSORNO;191.0;;4350.0;0.0;830850.0
1057532-165-SE22;1;43211500;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;43211507;Computadores de escritorio;(1589654) ALL IN ONE HP PROONE 400 G4 / ARRIENDO 36 MESES / 1591552//;(1589654) ALL IN ONE HP PROONE 400 G4 / ARRIENDO 36 MESES / 1591552;1.0;;1965.04;0.0;1965.04
1077241-5-SE22;1;78111800;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111808;Arriendo de vehículos;N° Salidas dentro de la Ciudad;Convenio de Servicios de Movilización COSAM Rahue;21.0;;46000.0;0.0;966000.0
1057532-108-SE22;1;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;DESRATIZACIÓN, Base SAMU, Amador Barrientos # 2360;DESRATIZACIÓN//  CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//;1.0;;25000.0;0.0;25000.0
1057532-108-SE22;2;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;SANITIZACIÓN, Base SAMU, Amador Barrientos # 2360;SANITIZACIÓN//  CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//;1.0;;10000.0;0.0;10000.0
1057532-108-SE22;3;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;DESINSECTACIÓN, Base SAMU, Amador Barrientos # 2360;DESINSECTACIÓN//  CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//;1.0;;30000.0;0.0;30000.0
1057532-178-SE22;1;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//COSAM Oriente, Germán Hube # 1431;DESRATIZACIÓN//  CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//;1.0;;30000.0;0.0;30000.0
1057532-178-SE22;2;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//COSAM Oriente, Germán Hube # 1431;SANITIZACIÓN//  CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//;1.0;;10000.0;0.0;10000.0
1057532-178-SE22;3;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//COSAM Oriente, Germán Hube # 1431;DESINSECTACIÓN//  CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION,  DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION  DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS  DEPENDIENTES//;1.0;;35000.0;0.0;35000.0
1057532-147-AG22;1;80141600;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios para la comercialización y distribución / Ventas y marketing;80141618;Agencias de marketing de ventas, incluidas las imp;PENDONES ROLLER;PENDONES ROLLER;2.0;;31000.0;0.0;62000.0
1057532-190-SE22;1;12162200;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207;Melatonina;MELATONINA 3 MG CAPSULA;MELATONINA 3 MG CAPSULA;3000.0;;37.0;0.0;111000.0
1057532-220-SE22;1;43212100;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Impresoras;43212105;Impresoras de láser;N° Impresiones COLOR.;Arriendo Impresoras Multifuncionales con costo variable para el Servicio de Salud Osorno, por 36 meses.;1174.0;;72.0;0.0;84528.0
1057532-220-SE22;2;43212100;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Impresoras;43212105;Impresoras de láser;N° Impresiones B/N.;Arriendo Impresoras Multifuncionales con costo variable para el Servicio de Salud Osorno, por 36 meses.;61665.0;;16.0;0.0;986640.0
1057532-1820-AG21;1;80111500;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Consultorías para el desarrollo de recursos humanos;80111504;Formación, capacitación y entrenamiento de persona;Jornada de capacitación de Autocuidado. Se adjuntan objetivos y requerimientos para la realización de la jornada de capacitación;;1.0;;750000.0;0.0;750000.0
1057532-188-SE22;1;73101700;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción farmacéutica;73101701;Servicios de producción de medicamentos o medicina;TIAMINA CLORHIDRATO 10MG COMPRIMIDOS;TIAMINA CLORHIDRATO 10MG COMPRIMIDOS;5200.0;;32.0;0.0;166400.0
1057532-216-AG22;1;39101600;Artículos eléctricos y de iluminación / Artículos de iluminación / Ampolletas, focos y lámparas;39101612;ampolletas incandescentes;AMPOLLETAS DE AHORRO;;20.0;;2000.0;0.0;40000.0
1057532-216-AG22;2;52121600;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Mantelerías de cocina, de mesa y accesorios;52121606;Individuales;INDIVIDUALES PLASTICOS;;24.0;;2000.0;0.0;48000.0
1057532-216-AG22;3;52131500;Muebles, accesorios, electrodomésticos y productos electrónicos / Tratamientos de ventanas / Cortinas y ropaje;52131501;Cortinas;CORTINA INTERIOR DE BAÑO 180X180 CM;;12.0;;3500.0;0.0;42000.0
1057532-216-AG22;4;31162400;Artículos de fabricación y producción / Artículos de ferretería / Cerrojos;31162406;Argollas de zunchamiento o de cercado;ARGOLLAS DE CORTINA DE BAÑO SET X 12 UNIDADES;;6.0;;5000.0;0.0;30000.0
1057532-216-AG22;5;31201600;Artículos de fabricación y producción / Cintas adhesivas y selladores / Adhesivos y selladores;31201603;Gomas;PISOS ANTIDESLIZANTES DE GOMA PARA DUCHA;;12.0;;10000.0;0.0;120000.0
1057532-216-AG22;6;52131500;Muebles, accesorios, electrodomésticos y productos electrónicos / Tratamientos de ventanas / Cortinas y ropaje;52131501;Cortinas;CORTINA EXTERIOR DE BAÑO 180X180 CM;;12.0;;15000.0;0.0;180000.0
1057532-216-AG22;7;52151800;Muebles, accesorios, electrodomésticos y productos electrónicos / Utensilios y baterías de cocina, vajillas y otros productos de uso doméstico / Batería de cocina doméstica;52151802;Sartenes domésticas;SARTENES WOK 30 CM DE DIAMETRO;;1.0;;15000.0;0.0;15000.0
1057532-216-AG22;8;27112000;Herramientas y maquinaria en general / Herramientas manuales / Herramientas de jardinería;27112003;Rastrillos;RASTRILLO DE ABANICO PARA HOJAS;;3.0;;20000.0;0.0;60000.0
1057532-227-SE22;1;43212100;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Impresoras;43212105;Impresoras de láser;N° Impresiones B/N.;Arriendo Impresoras Multifuncionales con costo variable para el Servicio de Salud Osorno, por 36 meses.;2011.0;;15.4;0.0;30969.4
1057532-203-SE22;1;78180100;Servicios de transporte, almacenaje y correo / Servicios de mantención o reparaciones de transportes / Mantención o reparación de vehículos;78180103;Servicios de cambio de fluidos de aceite o de la transmisión;CONVENIO DE SERVICIOS DE MANTENCIÓN PREVENTIVA, CORRECTIVA Y/O REPARATIVA PARA VEHÍCULOS MERCEDES-BENZ DEL SERVICIO DE SALUD OSORNO Y HOSPITALES PERIFÉRICO.//SOLICITUD POR MANTENCIÓN CORRECTIVA EN AMBULANCIA MERCEDES BENZ SPRINTER, PPU: JB.CG-55 DE DOTACIÓN DE LA BASE SAMU OSORNO // COTIZACIÓN 101646776;valores ingresados según lo solicitado en bases adjuntas formulario 4;1.0;;207090.0;0.0;207090.0
1057532-228-AG22;1;52121500;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Ropa de cama;52121505;Almohadas;ALMOHADA CREA MICROFIBRA BLANCA  40X90 CMS.;;12.0;;4900.0;0.0;58800.0
1057532-228-AG22;2;52121500;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Ropa de cama;52121508;Mantas o frazadas;FRAZADAS DE POLAR 1 1/2  PLAZA COLOR BEIGE.;;12.0;;10500.0;0.0;126000.0
1057532-228-AG22;3;52121500;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Ropa de cama;52121509;Sábanas;JUEGO DE SABANAS DE  DE 1 PLAZA ( COLORES PASTELES O BLANCA);;24.0;;11500.0;0.0;276000.0
1057532-228-AG22;4;52121500;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Ropa de cama;52121504;Fundas de colchón;CUBRECOLCHON  DE 1 PLAZA;;12.0;;11900.0;0.0;142800.0
1057532-228-AG22;5;52121500;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Ropa de cama;52121511;Cubrecamas;CUBRECAMA MODELO COLCHA 1.5 PLAZA COLOR BEIGE.;;12.0;;17900.0;0.0;214800.0
1057532-228-AG22;6;52121500;Muebles, accesorios, electrodomésticos y productos electrónicos / Ropa de cama, mantelerías, paños de cocina y toallas / Ropa de cama;52121502;Cobertor acolchado o plumón;PLUMON DE CAMA GRUESO ( ACOLCHADO COLORES PASTELES DE 1 1/2 PLAZA );;12.0;;18500.0;0.0;222000.0
1057532-293-SE22;1;80111700;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Contratación de personal;80111715;Profesionales;Profesional Informático;Profesional Informático Servicios Febrero 2022.;1.0;;1054650.0;0.0;1054650.0
1057532-212-AG22;1;14111600;Productos de papel / Productos de papel / Papel fantasía;14111610;Cartulina;CARTULINA PLIEGO COLOR ROJO;;10.0;;150.0;0.0;1500.0
1057532-212-AG22;2;14111600;Productos de papel / Productos de papel / Papel fantasía;14111610;Cartulina;CARTULINA PLIEGO COLOR VERDE;;10.0;;150.0;0.0;1500.0
1057532-212-AG22;3;14111600;Productos de papel / Productos de papel / Papel fantasía;14111610;Cartulina;CARTULINA PLIEGO COLOR AMARILLO;;10.0;;150.0;0.0;1500.0
1057532-212-AG22;4;14111600;Productos de papel / Productos de papel / Papel fantasía;14111610;Cartulina;CARTULINA PLIEGO COLOR CELESTE;;10.0;;150.0;0.0;1500.0
1057532-212-AG22;5;14111600;Productos de papel / Productos de papel / Papel fantasía;14111610;Cartulina;CARTULINA PLIEGO COLOR NARANJO;;10.0;;150.0;0.0;1500.0
1057532-212-AG22;6;14111500;Productos de papel / Productos de papel / Papel de imprenta y escritura;14111525;Papel multiuso;PLIEGO DE PAPEL VOLANTIN VARIADOS COLORES;;60.0;;200.0;0.0;12000.0
1057532-212-AG22;7;14111500;Productos de papel / Productos de papel / Papel de imprenta y escritura;14111525;Papel multiuso;CARPETA PAPEL CELOFAN, DISTINTOS COLORES;;20.0;;250.0;0.0;5000.0
1057532-212-AG22;8;14111500;Productos de papel / Productos de papel / Papel de imprenta y escritura;14111525;Papel multiuso;PAPEL MANTEQUILLA;;10.0;;350.0;0.0;3500.0
1057532-212-AG22;9;53141500;Ropa, maletas y productos de aseo personal / Suministros y accesorios de costura / Afianzadores de costura;53141501;Alfileres rectos;CAJA DE ALFILERES DE ACERO;;4.0;;380.0;0.0;1520.0
1057532-212-AG22;10;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR DORADO;;10.0;;750.0;0.0;7500.0
1057532-212-AG22;11;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR VERDE;;10.0;;750.0;0.0;7500.0
1057532-212-AG22;12;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR NEGRO;;10.0;;750.0;0.0;7500.0
1057532-212-AG22;13;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR AMARILLO;;5.0;;750.0;0.0;3750.0
1057532-212-AG22;14;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR ROSADO PASTEL;;5.0;;750.0;0.0;3750.0
1057532-212-AG22;15;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR VERDE CLARO;;5.0;;750.0;0.0;3750.0
1057532-212-AG22;16;60123000;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos / Equipos de arte y manualidades, accesorios y suministros / Artesanía de espuma;60123001;Figuras de goma Eva;GOMA EVA PLIEGO, CON GLITTERS COLOR AZUL REY;;5.0;;750.0;0.0;3750.0
1057532-212-AG22;17;44122100;Equipos, accesorios y suministros de oficina / Suministros de oficina / Suministros de sujeción;44122106;Chinches y tachuelas;CHINCHES PLASTICOS, COLORES HAND 100 PUSH PINS;;4.0;;780.0;0.0;3120.0
1057532-212-AG22;18;14111500;Productos de papel / Productos de papel / Papel de imprenta y escritura;14111525;Papel multiuso;CARPETA PAPEL CHOCLO, DISTINTOS  COLORES;;10.0;;1000.0;0.0;10000.0
1057532-212-AG22;19;26121500;Maquinaria para generación y distribución de energía / Alambres y cables eléctricos y electrónicos / Conductores eléctricos;26121536;Cuerda de extensión;RAFIA  COLORES;;10.0;;1000.0;0.0;10000.0
1057532-212-AG22;20;44121700;Equipos, accesorios y suministros de oficina / Suministros de oficina / Instrumentos de escritura;44121701;Lápiz pasta;LAPICES SCRIPTO X 12 COLORES ( SET );;16.0;;1000.0;0.0;16000.0
